transaction_id,client_id,date,channel,product_id,product_label,family,price_initial,price_sold,discount_amount,quantity,revenue
2d94f6b7-4189-45a9-be1b-9c18745cd7c7,C0175,2022-09-05,Store,P0035,Shirt M99,Shirt,85.33,71.2,98.91,7,498.4
01eb86c3-9cdf-4f3d-9627-c38507fc6c41,C0175,2022-09-05,Store,P0039,Shirt A58,Shirt,44.11,39.12,34.93,7,273.84
6c3e9245-125e-48ed-9a14-04119dee1235,C0175,2022-09-05,Store,P0038,Shirt X30,Shirt,57.01,49.809999999999995,50.4,7,348.67
9fd155f1-d442-4820-a91b-98443e44125d,C0175,2022-09-05,Store,P0005,Hoodie A14,Hoodie,84.79,72.36000000000001,149.16,12,868.32
07050597-7bde-495b-9057-840e9f439b04,C0252,2022-05-15,Store,P0014,Hoodie A53,Hoodie,86.45,77.37,108.96,12,928.44
08cd50eb-e02f-4d13-ad78-4a070052cedf,C0252,2022-05-15,Store,P0064,Activewear M80,Activewear,81.0,72.45,85.5,10,724.5
34bb593f-e2d8-4744-a75d-0298002a626f,C0486,2023-01-06,Store,P0075,Activewear X29,Activewear,77.78,64.72,39.18,3,194.16
7aa98b2f-7ef3-4059-b2f3-bfb1edcb96d2,C0486,2023-01-06,Store,P0054,Shirt A56,Shirt,69.61,56.84,51.08,4,227.36
a72871d6-0858-4005-a649-1819ef82d134,C0486,2023-01-06,Store,P0078,Activewear M72,Activewear,75.52,62.25,39.81,3,186.75
50d1d992-09ec-4950-b468-cc9908d95a64,C0486,2023-01-06,Store,P0070,Activewear X68,Activewear,30.2,25.71,13.47,3,77.13
48c8e278-c80a-4025-bdb2-c7e23ac8b99e,C0405,2023-11-24,Store,P0037,Shirt X78,Shirt,50.16,45.09,25.35,5,225.45
41d6417a-687c-4959-a4c5-5d7551216c02,C0405,2023-11-24,Store,P0051,Shirt X81,Shirt,46.79,41.96,24.15,5,209.8
7f8c76d1-bdde-40ac-a166-54801c382482,C0405,2023-11-24,Store,P0063,Activewear A77,Activewear,65.59,58.010000000000005,22.74,3,174.03
1e3d1b87-b502-4e9e-a5f3-6ab008711eb4,C0405,2023-11-24,Store,P0033,Shirt M55,Shirt,90.18,78.35000000000001,59.15,5,391.75
6c2e4a4a-3fcf-48b9-a8bd-ec6700e5e314,C0405,2023-11-24,Store,P0049,Shirt A28,Shirt,95.19,83.24,59.75,5,416.2
a2945e2a-d720-49fa-b034-1b5da27852c0,C0220,2023-01-07,Store,P0050,Shirt M27,Shirt,70.22,56.98,52.96,4,227.92
ae68cedb-9a59-4da1-811a-de760d224cc5,C0220,2023-01-07,Store,P0038,Shirt X30,Shirt,57.01,48.459999999999994,34.2,4,193.84
aa69f1de-5c4c-4663-b5e7-6939278911c9,C0486,2022-09-29,Store,P0078,Activewear M72,Activewear,75.52,63.28999999999999,36.69,3,189.87
410c9fc6-a965-40a0-90bb-d9706eced753,C0486,2022-09-29,Store,P0015,Hoodie M29,Hoodie,97.2,80.77000000000001,82.15,5,403.85
ea323087-6492-4000-97f9-3160818ccb42,C0486,2022-09-29,Store,P0063,Activewear A77,Activewear,65.59,58.84,20.25,3,176.52
949b276d-c8cb-4f38-b5db-b5be7cc58e64,C0283,2022-05-16,Store,P0016,Hoodie X53,Hoodie,29.94,26.0,47.28,12,312.0
64c2b0aa-c0ca-4510-bba0-86f5f0b9ef52,C0283,2022-05-16,Store,P0065,Activewear Z97,Activewear,90.14,72.92,172.2,10,729.2
1f0a745a-3668-4c52-b9a6-7c56a3f44d7c,C0283,2022-05-16,Store,P0082,Activewear X82,Activewear,34.53,28.06,64.7,10,280.6
b6857709-d73d-448c-9e7e-03075b7cc733,C0150,2022-04-03,Store,P0018,Hoodie A22,Hoodie,95.07,79.66999999999999,107.8,7,557.69
dc6094b1-7586-41d3-bd31-2f2de192fb2a,C0150,2022-04-03,Store,P0014,Hoodie A53,Hoodie,86.45,75.32000000000001,77.91,7,527.24
0d63ca3d-6ed7-4adc-a3f6-5b99b713a274,C0150,2022-04-03,Store,P0063,Activewear A77,Activewear,65.59,58.17,22.26,3,174.51
f5ca0d93-2e48-4adc-872b-df5199709a73,C0150,2022-04-03,Store,P0026,Hoodie X18,Hoodie,36.13,29.03,49.7,7,203.21
c138753e-82c0-4b98-9392-5733ed71226b,C0120,2022-11-26,Store,P0032,Shirt M30,Shirt,48.71,40.54,32.68,4,162.16
b55e5e53-4e12-4288-899f-6958d9f21394,C0120,2022-11-26,Store,P0051,Shirt X81,Shirt,46.79,40.23,26.24,4,160.92
963c441e-7aca-41dd-b7d5-8afa5e68e543,C0332,2022-07-31,Online,P0041,Shirt X97,Shirt,60.22,52.07,48.9,6,312.42
51b2ef8a-ee16-47e2-bf3b-f0d35b9392b3,C0332,2022-07-31,Online,P0018,Hoodie A22,Hoodie,95.07,71.24,238.3,10,712.4
1a3e5d55-b878-4261-b69f-3867abf3fb6c,C0332,2022-07-31,Online,P0038,Shirt X30,Shirt,57.01,43.31,82.2,6,259.86
76621fa3-26f1-475e-907d-56a18af4902e,C0332,2022-07-31,Online,P0052,Shirt M84,Shirt,31.14,25.67,32.82,6,154.02
a6a5d57f-2b0c-4446-8fae-af52cd2f0b7e,C0292,2022-12-21,Online,P0041,Shirt X97,Shirt,60.22,52.57,30.6,4,210.28
ac468175-59c6-4176-b35e-989e1af3e92f,C0292,2022-12-21,Online,P0042,Shirt M17,Shirt,38.58,32.06,26.08,4,128.24
8bf4ac03-9cb2-49d1-b93f-63c7d4af5f93,C0292,2022-12-21,Online,P0051,Shirt X81,Shirt,46.79,40.28,26.04,4,161.12
991ff1f9-ad7b-45ed-979e-70e51d50c938,C0483,2022-12-04,Online,P0031,Shirt M68,Shirt,61.85,48.650000000000006,52.8,4,194.6
ec1ac635-23e7-44d2-b814-6249a401910f,C0483,2022-12-04,Online,P0037,Shirt X78,Shirt,50.16,39.58,42.32,4,158.32
52a8d6d6-0eef-47ed-b1d3-8b539ec1855f,C0456,2023-05-17,Online,P0037,Shirt X78,Shirt,50.16,37.7,137.06,11,414.7
c233915d-2c2b-4e5b-9e34-5300775c5726,C0456,2023-05-17,Online,P0001,Hoodie M41,Hoodie,30.75,22.89,78.6,10,228.9
939159e0-12d1-4a4f-b941-4d53ac709936,C0456,2023-05-17,Online,P0050,Shirt M27,Shirt,70.22,50.16,220.66,11,551.76
067c0f41-097e-48dd-a6bf-94a570cc893f,C0456,2023-05-17,Online,P0056,Shirt A21,Shirt,91.51,67.76,261.25,11,745.36
0b0b90f2-bd1d-436d-9910-b64d5f702b07,C0456,2023-05-17,Online,P0049,Shirt A28,Shirt,95.19,77.67,192.72,11,854.37
ef8cdc6f-d152-4652-a4f0-74e43e54f1f1,C0301,2022-03-22,Online,P0039,Shirt A58,Shirt,44.11,36.09,64.16,8,288.72
32520d80-d285-4063-a7f0-cde1db35a1ff,C0301,2022-03-22,Online,P0045,Shirt M18,Shirt,63.48,51.9,92.64,8,415.2
4844ea38-85b6-4ca7-b650-f7afe0a8d152,C0301,2022-03-22,Online,P0033,Shirt M55,Shirt,90.18,68.28,175.2,8,546.24
28d07b3f-c640-4369-9460-5db600b5f866,C0301,2022-03-22,Online,P0034,Shirt X95,Shirt,51.4,40.22,89.44,8,321.76
be7fb35a-28d5-42c8-a3a6-429929fed3ff,C0227,2022-12-10,Store,P0089,Activewear X49,Activewear,66.9,55.67,33.69,3,167.01
8e9e7b06-da32-4508-8a45-ca6140eaf423,C0227,2022-12-10,Store,P0049,Shirt A28,Shirt,95.19,78.02,68.68,4,312.08
afea5eaf-5e14-4e51-b704-8dafec7c1944,C0227,2022-12-10,Store,P0067,Activewear M92,Activewear,85.7,73.72,35.94,3,221.16
